"","GEOID","household_income","employment_rate","birth_rate","NAME","Less_HS","HS_Equiv","Some_College","Bachelors","Graduate_Prof"
"79","37071030901",50833,67.1,2,"Census Tract 309.01; Gaston County; North Carolina",0.0964419475655431,0.370318352059925,0.305243445692884,0.191947565543071,0.0360486891385768
"80","37071030902",54124,56.2,2,"Census Tract 309.02; Gaston County; North Carolina",0.167400881057269,0.303625889528973,0.404269739071501,0.109115554049475,0.0155879362927821
"81","37071031001",NA,44.7,2,"Census Tract 310.01; Gaston County; North Carolina",0.195697796432319,0.402938090241343,0.262329485834208,0.0823714585519412,0.0566631689401889
"82","37071031004",52083,54.6,2,"Census Tract 310.04; Gaston County; North Carolina",0.11978221415608,0.285843920145191,0.401996370235935,0.14519056261343,0.0471869328493648
"83","37071031005",81272,63.1,2,"Census Tract 310.05; Gaston County; North Carolina",0.171691364333163,0.318855390904446,0.311190597853858,0.163515585079203,0.0347470618293306
"84","37071031006",93750,55.6,2,"Census Tract 310.06; Gaston County; North Carolina",0.0308848080133556,0.233722871452421,0.452420701168614,0.126878130217028,0.156093489148581
"85","37071031101",71319,63.8,2,"Census Tract 311.01; Gaston County; North Carolina",0.176046825754165,0.228275551553354,0.35164340387213,0.185502026114363,0.0585321927059883
"86","37071031102",47159,52.2,2,"Census Tract 311.02; Gaston County; North Carolina",0.13112582781457,0.31523178807947,0.362251655629139,0.152980132450331,0.0384105960264901
"87","37071031202",41750,43.3,2,"Census Tract 312.02; Gaston County; North Carolina",0.0587349397590361,0.261295180722892,0.375753012048193,0.24171686746988,0.0625
"88","37071031203",95664,80.1,2,"Census Tract 312.03; Gaston County; North Carolina",0.0235204855842185,0.0895295902883156,0.348254931714719,0.355842185128983,0.182852807283763
"89","37071031204",64375,75.4,2,"Census Tract 312.04; Gaston County; North Carolina",0.132252559726962,0.439419795221843,0.298634812286689,0.0870307167235495,0.0426621160409556
"90","37071031301",77262,63.9,2,"Census Tract 313.01; Gaston County; North Carolina",0.105673758865248,0.330141843971631,0.371276595744681,0.129787234042553,0.0631205673758865
"91","37071031303",47584,57.4,2,"Census Tract 313.03; Gaston County; North Carolina",0.170731707317073,0.375179340028694,0.31922525107604,0.121951219512195,0.0129124820659971
"92","37071031304",43456,63.5,2,"Census Tract 313.04; Gaston County; North Carolina",0.144591029023747,0.283377308707124,0.409498680738786,0.108707124010554,0.0538258575197889
"93","37071031401",56605,56.5,2,"Census Tract 314.01; Gaston County; North Carolina",0.201897733263047,0.292040063257775,0.331576172904586,0.154454401686874,0.0200316288877174
"94","37071031402",66154,53.1,2,"Census Tract 314.02; Gaston County; North Carolina",0.118145845110232,0.295081967213115,0.443188241944601,0.120407009609949,0.0231769361221029
"95","37071031500",36250,53.7,2,"Census Tract 315; Gaston County; North Carolina",0.217214778725132,0.392610637434024,0.323589118960617,0.0320747056435242,0.0345107592367032
"96","37071031600",57480,60.1,2,"Census Tract 316; Gaston County; North Carolina",0.153315824031517,0.43532501641497,0.304661851608667,0.0613919894944189,0.0453053184504268
"97","37071031703",76688,61.9,2,"Census Tract 317.03; Gaston County; North Carolina",0.195161951619516,0.285362853628536,0.330053300533005,0.136531365313653,0.0528905289052891
"98","37071031704",69542,54.9,2,"Census Tract 317.04; Gaston County; North Carolina",0.164531355360755,0.453809844908968,0.257248819959541,0.106203641267701,0.0182063385030344
"99","37071031705",56859,53.7,2,"Census Tract 317.05; Gaston County; North Carolina",0.184867951463241,0.292648108493933,0.329050678087081,0.114917915774447,0.0785153461812991
"100","37071031706",44850,48.7,2,"Census Tract 317.06; Gaston County; North Carolina",0.17439293598234,0.298013245033113,0.374172185430464,0.13355408388521,0.0198675496688742
"101","37071031800",33732,52.6,2,"Census Tract 318; Gaston County; North Carolina",0.156090071647902,0.505117707267144,0.252814738996929,0.0532241555783009,0.0327533265097236
"102","37071031901",37647,60.8,2,"Census Tract 319.01; Gaston County; North Carolina",0.0637119113573407,0.437673130193906,0.296398891966759,0.149584487534626,0.0526315789473684
